"id","code","name"
"02042200","0204.22.00","0204.22.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, frescas ou refrigeradas: -- Outras peças não desossadas"
"02042300","0204.23.00","0204.23.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, frescas ou refrigeradas: -- Desossadas"
"02043000","0204.30.00","0204.30.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Carcaças e meias-carcaças de cordeiro, congeladas"
"02044100","0204.41.00","0204.41.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, congeladas: -- Carcaças e meias-carcaças"
"02044200","0204.42.00","0204.42.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, congeladas: -- Outras peças não desossadas"
"02044300","0204.43.00","0204.43.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, congeladas: -- Desossadas"
"02045000","0204.50.00","0204.50.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Carnes de animais da espécie caprina"
"02050000","0205.00.00","0205.00.00 Carnes e miudezas, comestíveis. Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas."
"02061000","0206.10.00","0206.10.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, frescas ou refrigeradas"
"02062100","0206.21.00","0206.21.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Línguas"
"02062200","0206.22.00","0206.22.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Fígados"
"02062910","0206.29.10","0206.29.10 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Outras Rabos"
"02062990","0206.29.90","0206.29.90 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Outras Outros"
"02063000","0206.30.00","0206.30.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie suína, frescas ou refrigeradas"
"02064100","0206.41.00","0206.41.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie suína, congeladas: -- Fígados"
"02064900","0206.49.00","0206.49.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie suína, congeladas: -- Outras"
"02068000","0206.80.00","0206.80.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Outras, frescas ou refrigeradas"
"02069000","0206.90.00","0206.90.00 Carnes e miudezas, comestíveis. Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Outras, congeladas"
"02071100","0207.11.00","0207.11.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02071200","0207.12.00","0207.12.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Não cortadas em pedaços, congeladas"
